CSV,Berlin,Hamburg,Munchen,Koln,Frankfurt,Stuttgart,Dusseldorf,Dortmund,Essen,Bremen,Dresden,Leipzig,Hannover,Nurnberg,Duisburg,Bochum,Wuppertal,Bonn,Bielefeld,Mannheim,Karlsruhe,Munster,Wiesbaden,Augsburg,Aachen,Monchengladbach,Gelsenkirchen,Braunschweig,Chemnitz,Kiel,Krefeld,Halle,Magdeburg,Freiburg,Oberhausen,Lubeck,Erfurt,Rostock,Mainz,Kassel,Hagen,Hamm,Saarbrucken,Mulheim,Herne,Ludwigshafen,Osnabruck,Oldenburg,Leverkusen,Solingen,Potsdam,Neuss,Heidelberg,Paderborn,Darmstadt,Regensburg,Wurzburg,Ingolstadt,Heilbronn,Ulm,Wolfsburg,Gottingen,Offenbach,Pforzheim,Recklinghausen,Bottrop,Furth,Bremerhaven,Reutlingen,Remscheid,Koblenz,Bergisch_Gladbach,Erlangen,Moers,Trier,Jena,Siegen,Hildesheim,Salzgitter,Cottbus,St_Augustine,Baden_Baden,Basel_Switzerland
Saarbrucken,726 km: 6 hours 38 mins,671 km: 6 hours 10 mins,440 km: 4 hours 34 mins,258 km: 2 hours 42 mins,185 km: 1 hour 53 mins,222 km: 2 hours 31 mins,300 km: 3 hours 4 mins,352 km: 3 hours 30 mins,324 km: 3 hours 21 mins,572 km: 5 hours 26 mins,646 km: 5 hours 47 mins,570 km: 5 hours 10 mins,529 km: 4 hours 56 mins,371 km: 3 hours 28 mins,323 km: 3 hours 15 mins,341 km: 3 hours 26 mins,307 km: 3 hours 8 mins,232 km: 2 hours 25 mins,451 km: 4 hours 19 mins,135 km: 1 hour 22 mins,142 km: 1 hour 41 mins,407 km: 3 hours 59 mins,159 km: 1 hour 35 mins,371 km: 3 hours 55 mins,259 km: 2 hours 36 mins,295 km: 3 hours 0 mins,345 km: 3 hours 29 mins,514 km: 4 hours 49 mins,573 km: 5 hours 10 mins,766 km: 6 hours 57 mins,316 km: 3 hours 12 mins,576 km: 5 hours 15 mins,601 km: 5 hours 31 mins,208 km: 2 hours 17 mins,327 km: 3 hours 14 mins,731 km: 6 hours 47 mins,436 km: 4 hours 2 mins,845 km: 7 hours 39 mins,151 km: 1 hour 28 mins,372 km: 3 hours 31 mins,335 km: 3 hours 20 mins,381 km: 3 hours 48 mins,NULL,316 km: 3 hours 16 mins,346 km: 3 hours 26 mins,135 km: 1 hour 22 mins,459 km: 4 hours 28 mins,562 km: 5 hours 19 mins,276 km: 2 hours 45 mins,291 km: 3 hours 3 mins,704 km: 6 hours 15 mins,296 km: 3 hours 0 mins,155 km: 1 hour 34 mins,452 km: 4 hours 13 mins,171 km: 1 hour 44 mins,460 km: 4 hours 15 mins,295 km: 2 hours 48 mins,439 km: 4 hours 0 mins,211 km: 2 hours 3 mins,299 km: 3 hours 12 mins,543 km: 5 hours 2 mins,411 km: 3 hours 50 mins,191 km: 1 hour 53 mins,172 km: 2 hours 3 mins,355 km: 3 hours 33 mins,337 km: 3 hours 27 mins,376 km: 3 hours 31 mins,636 km: 6 hours 1 min,246 km: 2 hours 43 mins,304 km: 3 hours 5 mins,197 km: 1 hour 58 mins,269 km: 2 hours 52 mins,389 km: 3 hours 36 mins,331 km: 3 hours 20 mins,96.5 km: 1 hour 7 mins,478 km: 4 hours 21 mins,310 km: 2 hours 59 mins,498 km: 4 hours 38 mins,493 km: 4 hours 33 mins,766 km: 6 hours 46 mins,242 km: 2 hours 30 mins,159 km: 1 hour 47 mins,260 km: 2 hours 40 mins
Mulheim,541 km: 5 hours 2 mins,377 km: 3 hours 36 mins,626 km: 5 hours 44 mins,63.8 km: 50 mins,242 km: 2 hours 25 mins,418 km: 4 hours 1 min,27.7 km: 31 mins,46.5 km: 41 mins,11.1 km: 17 mins,266 km: 2 hours 38 mins,565 km: 5 hours 13 mins,460 km: 4 hours 18 mins,259 km: 2 hours 30 mins,458 km: 4 hours 21 mins,19.8 km: 22 mins,27.3 km: 28 mins,48.4 km: 39 mins,86.6 km: 1 hour 1 min,161 km: 1 hour 38 mins,298 km: 2 hours 53 mins,354 km: 3 hours 24 mins,100 km: 1 hour 11 mins,226 km: 2 hours 12 mins,574 km: 5 hours 28 mins,117 km: 1 hour 21 mins,54.1 km: 47 mins,24.3 km: 28 mins,322 km: 3 hours 3 mins,522 km: 4 hours 53 mins,461 km: 4 hours 17 mins,29.5 km: 33 mins,422 km: 4 hours 3 mins,401 km: 3 hours 40 mins,484 km: 4 hours 34 mins,16.8 km: 21 mins,436 km: 4 hours 13 mins,391 km: 3 hours 49 mins,550 km: 5 hours 5 mins,231 km: 2 hours 21 mins,209 km: 2 hours 12 mins,65.4 km: 51 mins,90.2 km: 1 hour 8 mins,319 km: 3 hours 13 mins,NULL,29.8 km: 33 mins,300 km: 2 hours 54 mins,153 km: 1 hour 40 mins,255 km: 2 hours 32 mins,48.3 km: 35 mins,45.5 km: 42 mins,519 km: 4 hours 39 mins,33.1 km: 39 mins,303 km: 2 hours 55 mins,145 km: 1 hour 42 mins,251 km: 2 hours 30 mins,560 km: 5 hours 13 mins,353 km: 3 hours 21 mins,551 km: 5 hours 3 mins,366 km: 3 hours 28 mins,502 km: 4 hours 45 mins,343 km: 3 hours 12 mins,256 km: 2 hours 37 mins,249 km: 2 hours 27 mins,374 km: 3 hours 36 mins,41.5 km: 40 mins,22.5 km: 32 mins,451 km: 4 hours 14 mins,329 km: 3 hours 14 mins,448 km: 4 hours 16 mins,54.3 km: 51 mins,168 km: 1 hour 42 mins,59.2 km: 54 mins,447 km: 4 hours 9 mins,28.2 km: 28 mins,248 km: 2 hours 37 mins,433 km: 4 hours 8 mins,143 km: 1 hour 29 mins,303 km: 2 hours 52 mins,330 km: 3 hours 6 mins,633 km: 5 hours 38 mins,85.0 km: 59 mins,389 km: 3 hours 39 mins,543 km: 5 hours 5 mins
Herne,512 km: 4 hours 37 mins,347 km: 3 hours 10 mins,624 km: 5 hours 40 mins,88.4 km: 59 mins,242 km: 2 hours 23 mins,436 km: 4 hours 9 mins,54.0 km: 48 mins,24.4 km: 23 mins,20.7 km: 24 mins,236 km: 2 hours 12 mins,543 km: 4 hours 55 mins,438 km: 4 hours 0 mins,231 km: 2 hours 6 mins,456 km: 4 hours 17 mins,42.0 km: 31 mins,8.1 km: 15 mins,43.4 km: 32 mins,111 km: 1 hour 11 mins,132 km: 1 hour 14 mins,317 km: 3 hours 1 min,372 km: 3 hours 32 mins,70.9 km: 45 mins,251 km: 2 hours 22 mins,593 km: 5 hours 27 mins,150 km: 1 hour 37 mins,80.4 km: 1 hour 4 mins,15.0 km: 17 mins,293 km: 2 hours 38 mins,500 km: 4 hours 35 mins,432 km: 3 hours 52 mins,70.4 km: 48 mins,400 km: 3 hours 45 mins,372 km: 3 hours 15 mins,502 km: 4 hours 42 mins,32.4 km: 23 mins,407 km: 3 hours 47 mins,369 km: 3 hours 31 mins,521 km: 4 hours 40 mins,256 km: 2 hours 31 mins,187 km: 1 hour 55 mins,43.9 km: 33 mins,61.4 km: 43 mins,344 km: 3 hours 23 mins,29.8 km: 31 mins,NULL,318 km: 3 hours 1 min,123 km: 1 hour 14 mins,226 km: 2 hours 6 mins,72.8 km: 44 mins,57.9 km: 45 mins,491 km: 4 hours 14 mins,59.4 km: 57 mins,321 km: 3 hours 3 mins,123 km: 1 hour 24 mins,265 km: 2 hours 34 mins,558 km: 5 hours 9 mins,351 km: 3 hours 17 mins,549 km: 4 hours 59 mins,384 km: 3 hours 36 mins,520 km: 4 hours 53 mins,315 km: 2 hours 47 mins,234 km: 2 hours 19 mins,245 km: 2 hours 24 mins,392 km: 3 hours 44 mins,12.1 km: 15 mins,24.2 km: 23 mins,449 km: 4 hours 10 mins,300 km: 2 hours 48 mins,466 km: 4 hours 24 mins,50.3 km: 36 mins,192 km: 1 hour 52 mins,74.2 km: 57 mins,445 km: 4 hours 5 mins,51.4 km: 38 mins,272 km: 2 hours 46 mins,411 km: 3 hours 50 mins,117 km: 1 hour 14 mins,274 km: 2 hours 27 mins,301 km: 2 hours 41 mins,604 km: 5 hours 13 mins,110 km: 1 hour 9 mins,407 km: 3 hours 47 mins,561 km: 5 hours 14 mins
Ludwigshafen,622 km: 5 hours 44 mins,568 km: 5 hours 16 mins,359 km: 3 hours 33 mins,241 km: 2 hours 21 mins,85.0 km: 1 hour 0 mins,135 km: 1 hour 28 mins,284 km: 2 hours 43 mins,295 km: 2 hours 51 mins,307 km: 2 hours 59 mins,515 km: 4 hours 48 mins,543 km: 4 hours 53 mins,467 km: 4 hours 16 mins,426 km: 4 hours 2 mins,243 km: 2 hours 20 mins,307 km: 2 hours 53 mins,308 km: 3 hours 0 mins,290 km: 2 hours 46 mins,216 km: 2 hours 4 mins,388 km: 3 hours 35 mins,2.8 km: 6 mins,66.5 km: 48 mins,350 km: 3 hours 21 mins,92.0 km: 57 mins,290 km: 2 hours 55 mins,286 km: 2 hours 43 mins,279 km: 2 hours 38 mins,329 km: 3 hours 7 mins,411 km: 3 hours 55 mins,467 km: 4 hours 13 mins,663 km: 6 hours 3 mins,300 km: 2 hours 50 mins,473 km: 4 hours 21 mins,497 km: 4 hours 37 mins,201 km: 2 hours 0 mins,311 km: 2 hours 53 mins,627 km: 5 hours 53 mins,333 km: 3 hours 8 mins,741 km: 6 hours 45 mins,84.0 km: 50 mins,268 km: 2 hours 36 mins,280 km: 2 hours 42 mins,324 km: 3 hours 10 mins,132 km: 1 hour 18 mins,300 km: 2 hours 55 mins,314 km: 3 hours 0 mins,NULL,403 km: 3 hours 50 mins,505 km: 4 hours 41 mins,260 km: 2 hours 23 mins,275 km: 2 hours 42 mins,601 km: 5 hours 21 mins,280 km: 2 hours 39 mins,21.3 km: 22 mins,348 km: 3 hours 18 mins,55.0 km: 44 mins,332 km: 3 hours 8 mins,180 km: 1 hour 45 mins,311 km: 2 hours 52 mins,82.5 km: 55 mins,218 km: 2 hours 11 mins,439 km: 4 hours 7 mins,307 km: 2 hours 56 mins,87.9 km: 1 hour 1 min,90.4 km: 1 hour 2 mins,323 km: 3 hours 8 mins,321 km: 3 hours 5 mins,248 km: 2 hours 23 mins,579 km: 5 hours 24 mins,164 km: 1 hour 42 mins,288 km: 2 hours 43 mins,146 km: 1 hour 28 mins,253 km: 2 hours 31 mins,268 km: 2 hours 30 mins,315 km: 2 hours 59 mins,179 km: 1 hour 45 mins,375 km: 3 hours 27 mins,206 km: 2 hours 5 mins,395 km: 3 hours 44 mins,390 km: 3 hours 39 mins,663 km: 5 hours 52 mins,225 km: 2 hours 9 mins,105 km: 1 hour 5 mins,259 km: 2 hours 32 mins
Osnabruck,420 km: 4 hours 3 mins,231 km: 2 hours 10 mins,646 km: 6 hours 10 mins,201 km: 2 hours 0 mins,331 km: 3 hours 12 mins,525 km: 4 hours 57 mins,177 km: 1 hour 50 mins,120 km: 1 hour 18 mins,142 km: 1 hour 30 mins,120 km: 1 hour 12 mins,506 km: 4 hours 39 mins,397 km: 3 hours 45 mins,139 km: 1 hour 31 mins,477 km: 4 hours 47 mins,152 km: 1 hour 31 mins,128 km: 1 hour 19 mins,157 km: 1 hour 34 mins,224 km: 2 hours 12 mins,55.7 km: 54 mins,406 km: 3 hours 49 mins,461 km: 4 hours 21 mins,58.2 km: 42 mins,352 km: 3 hours 19 mins,615 km: 5 hours 56 mins,263 km: 2 hours 38 mins,203 km: 2 hours 5 mins,131 km: 1 hour 20 mins,201 km: 2 hours 4 mins,493 km: 4 hours 34 mins,315 km: 2 hours 51 mins,177 km: 1 hour 47 mins,356 km: 3 hours 25 mins,280 km: 2 hours 41 mins,591 km: 5 hours 31 mins,145 km: 1 hour 24 mins,290 km: 2 hours 47 mins,366 km: 3 hours 44 mins,405 km: 3 hours 39 mins,357 km: 3 hours 28 mins,184 km: 2 hours 7 mins,132 km: 1 hour 21 mins,103 km: 1 hour 11 mins,456 km: 4 hours 24 mins,151 km: 1 hour 38 mins,122 km: 1 hour 12 mins,407 km: 3 hours 50 mins,NULL,109 km: 1 hour 5 mins,186 km: 1 hour 45 mins,171 km: 1 hour 47 mins,398 km: 3 hours 40 mins,191 km: 1 hour 59 mins,410 km: 3 hours 51 mins,95.8 km: 1 hour 21 mins,354 km: 3 hours 23 mins,580 km: 5 hours 39 mins,379 km: 3 hours 48 mins,571 km: 5 hours 29 mins,473 km: 4 hours 24 mins,566 km: 5 hours 25 mins,222 km: 2 hours 12 mins,231 km: 2 hours 32 mins,334 km: 3 hours 13 mins,481 km: 4 hours 32 mins,114 km: 1 hour 11 mins,130 km: 1 hour 21 mins,471 km: 4 hours 40 mins,183 km: 1 hour 47 mins,555 km: 5 hours 12 mins,163 km: 1 hour 37 mins,305 km: 2 hours 53 mins,187 km: 1 hour 59 mins,460 km: 4 hours 31 mins,161 km: 1 hour 38 mins,385 km: 3 hours 48 mins,408 km: 4 hours 3 mins,206 km: 2 hours 3 mins,182 km: 1 hour 53 mins,209 km: 2 hours 7 mins,512 km: 4 hours 39 mins,223 km: 2 hours 10 mins,496 km: 4 hours 36 mins,650 km: 6 hours 2 mins
Oldenburg,437 km: 4 hours 3 mins,168 km: 1 hour 40 mins,793 km: 7 hours 10 mins,302 km: 2 hours 52 mins,432 km: 4 hours 3 mins,626 km: 5 hours 49 mins,278 km: 2 hours 42 mins,221 km: 2 hours 10 mins,243 km: 2 hours 22 mins,49.2 km: 38 mins,523 km: 4 hours 40 mins,414 km: 3 hours 45 mins,168 km: 1 hour 43 mins,625 km: 5 hours 47 mins,253 km: 2 hours 23 mins,228 km: 2 hours 11 mins,258 km: 2 hours 26 mins,325 km: 3 hours 4 mins,171 km: 1 hour 54 mins,506 km: 4 hours 41 mins,562 km: 5 hours 13 mins,159 km: 1 hour 34 mins,453 km: 4 hours 11 mins,762 km: 6 hours 56 mins,364 km: 3 hours 30 mins,304 km: 2 hours 57 mins,232 km: 2 hours 12 mins,217 km: 2 hours 4 mins,509 km: 4 hours 35 mins,252 km: 2 hours 22 mins,278 km: 2 hours 39 mins,373 km: 3 hours 25 mins,297 km: 2 hours 41 mins,692 km: 6 hours 23 mins,246 km: 2 hours 16 mins,228 km: 2 hours 18 mins,379 km: 4 hours 17 mins,342 km: 3 hours 10 mins,458 km: 4 hours 20 mins,327 km: 3 hours 7 mins,233 km: 2 hours 13 mins,204 km: 2 hours 3 mins,557 km: 5 hours 16 mins,252 km: 2 hours 30 mins,223 km: 2 hours 4 mins,508 km: 4 hours 42 mins,109 km: 1 hour 8 mins,NULL,287 km: 2 hours 37 mins,272 km: 2 hours 39 mins,415 km: 3 hours 40 mins,292 km: 2 hours 51 mins,511 km: 4 hours 43 mins,211 km: 2 hours 21 mins,455 km: 4 hours 15 mins,721 km: 6 hours 25 mins,526 km: 4 hours 48 mins,718 km: 6 hours 29 mins,574 km: 5 hours 16 mins,714 km: 6 hours 25 mins,239 km: 2 hours 13 mins,284 km: 2 hours 41 mins,435 km: 4 hours 5 mins,582 km: 5 hours 24 mins,215 km: 2 hours 3 mins,230 km: 2 hours 13 mins,618 km: 5 hours 40 mins,69.8 km: 59 mins,656 km: 6 hours 4 mins,264 km: 2 hours 29 mins,406 km: 3 hours 45 mins,288 km: 2 hours 51 mins,608 km: 5 hours 31 mins,261 km: 2 hours 29 mins,486 km: 4 hours 39 mins,483 km: 4 hours 18 mins,306 km: 2 hours 54 mins,198 km: 1 hour 53 mins,225 km: 2 hours 7 mins,529 km: 4 hours 39 mins,323 km: 3 hours 2 mins,597 km: 5 hours 28 mins,751 km: 6 hours 54 mins
Leverkusen,555 km: 4 hours 57 mins,407 km: 3 hours 39 mins,585 km: 5 hours 17 mins,22.6 km: 23 mins,200 km: 1 hour 58 mins,377 km: 3 hours 34 mins,38.0 km: 32 mins,75.5 km: 45 mins,55.3 km: 42 mins,296 km: 2 hours 41 mins,584 km: 5 hours 8 mins,479 km: 4 hours 13 mins,274 km: 2 hours 26 mins,417 km: 3 hours 54 mins,55.1 km: 36 mins,64.1 km: 42 mins,38.3 km: 29 mins,45.4 km: 34 mins,175 km: 1 hour 34 mins,257 km: 2 hours 26 mins,312 km: 2 hours 57 mins,130 km: 1 hour 14 mins,185 km: 1 hour 45 mins,533 km: 5 hours 1 min,84.9 km: 1 hour 1 min,62.3 km: 51 mins,76.5 km: 50 mins,336 km: 2 hours 58 mins,514 km: 4 hours 41 mins,492 km: 4 hours 20 mins,58.7 km: 44 mins,441 km: 3 hours 57 mins,415 km: 3 hours 35 mins,443 km: 4 hours 7 mins,58.9 km: 35 mins,467 km: 4 hours 16 mins,377 km: 3 hours 33 mins,581 km: 5 hours 8 mins,190 km: 1 hour 54 mins,228 km: 2 hours 7 mins,58.2 km: 35 mins,104 km: 1 hour 3 mins,278 km: 2 hours 46 mins,47.6 km: 37 mins,69.8 km: 41 mins,259 km: 2 hours 27 mins,183 km: 1 hour 43 mins,285 km: 2 hours 35 mins,NULL,22.5 km: 25 mins,533 km: 4 hours 35 mins,39.3 km: 34 mins,262 km: 2 hours 28 mins,164 km: 1 hour 37 mins,210 km: 2 hours 2 mins,519 km: 4 hours 46 mins,312 km: 2 hours 54 mins,510 km: 4 hours 36 mins,325 km: 3 hours 1 min,460 km: 4 hours 18 mins,357 km: 3 hours 7 mins,275 km: 2 hours 32 mins,208 km: 2 hours 0 mins,333 km: 3 hours 8 mins,79.1 km: 49 mins,68.5 km: 48 mins,410 km: 3 hours 47 mins,359 km: 3 hours 17 mins,407 km: 3 hours 48 mins,27.4 km: 20 mins,126 km: 1 hour 15 mins,11.3 km: 19 mins,405 km: 3 hours 42 mins,63.4 km: 42 mins,206 km: 2 hours 10 mins,419 km: 3 hours 52 mins,102 km: 1 hour 2 mins,317 km: 2 hours 48 mins,344 km: 3 hours 1 min,647 km: 5 hours 34 mins,43.8 km: 32 mins,347 km: 3 hours 12 mins,501 km: 4 hours 38 mins
Solingen,547 km: 5 hours 7 mins,399 km: 3 hours 48 mins,599 km: 5 hours 28 mins,36.4 km: 33 mins,214 km: 2 hours 8 mins,391 km: 3 hours 45 mins,36.6 km: 35 mins,67.2 km: 55 mins,53.9 km: 45 mins,288 km: 2 hours 51 mins,575 km: 5 hours 17 mins,471 km: 4 hours 23 mins,265 km: 2 hours 35 mins,431 km: 4 hours 5 mins,53.7 km: 39 mins,55.3 km: 50 mins,22.1 km: 28 mins,59.2 km: 45 mins,167 km: 1 hour 43 mins,271 km: 2 hours 37 mins,326 km: 3 hours 7 mins,122 km: 1 hour 24 mins,199 km: 1 hour 56 mins,546 km: 5 hours 12 mins,98.7 km: 1 hour 12 mins,60.7 km: 53 mins,75.2 km: 52 mins,327 km: 3 hours 8 mins,528 km: 4 hours 52 mins,483 km: 4 hours 30 mins,57.4 km: 46 mins,432 km: 4 hours 7 mins,407 km: 3 hours 45 mins,457 km: 4 hours 17 mins,57.6 km: 38 mins,459 km: 4 hours 26 mins,390 km: 3 hours 44 mins,573 km: 5 hours 18 mins,204 km: 2 hours 5 mins,220 km: 2 hours 17 mins,49.9 km: 45 mins,96.0 km: 1 hour 13 mins,292 km: 2 hours 57 mins,46.3 km: 40 mins,61.0 km: 49 mins,272 km: 2 hours 38 mins,175 km: 1 hour 53 mins,277 km: 2 hours 44 mins,20.8 km: 18 mins,NULL,525 km: 4 hours 44 mins,37.9 km: 37 mins,276 km: 2 hours 39 mins,156 km: 1 hour 46 mins,224 km: 2 hours 13 mins,533 km: 4 hours 56 mins,325 km: 3 hours 4 mins,524 km: 4 hours 47 mins,339 km: 3 hours 12 mins,474 km: 4 hours 28 mins,349 km: 3 hours 16 mins,267 km: 2 hours 41 mins,221 km: 2 hours 10 mins,347 km: 3 hours 19 mins,70.3 km: 57 mins,67.1 km: 51 mins,424 km: 3 hours 58 mins,351 km: 3 hours 26 mins,421 km: 3 hours 59 mins,20.2 km: 26 mins,140 km: 1 hour 26 mins,31.7 km: 37 mins,419 km: 3 hours 52 mins,62.1 km: 45 mins,220 km: 2 hours 20 mins,433 km: 4 hours 3 mins,115 km: 1 hour 13 mins,309 km: 2 hours 57 mins,336 km: 3 hours 11 mins,639 km: 5 hours 43 mins,57.6 km: 43 mins,361 km: 3 hours 22 mins,515 km: 4 hours 49 mins
Potsdam,35.8 km: 37 mins,285 km: 2 hours 56 mins,563 km: 4 hours 59 mins,552 km: 4 hours 52 mins,528 km: 4 hours 39 mins,611 km: 5 hours 29 mins,540 km: 4 hours 48 mins,471 km: 4 hours 8 mins,510 km: 4 hours 30 mins,373 km: 3 hours 15 mins,211 km: 1 hour 59 mins,169 km: 1 hour 35 mins,265 km: 2 hours 25 mins,416 km: 3 hours 49 mins,525 km: 4 hours 33 mins,495 km: 4 hours 20 mins,507 km: 4 hours 25 mins,575 km: 5 hours 3 mins,371 km: 3 hours 19 mins,602 km: 5 hours 17 mins,658 km: 5 hours 49 mins,450 km: 4 hours 8 mins,549 km: 4 hours 47 mins,566 km: 5 hours 10 mins,614 km: 5 hours 29 mins,564 km: 5 hours 6 mins,496 km: 4 hours 20 mins,207 km: 1 hour 55 mins,264 km: 2 hours 25 mins,351 km: 3 hours 41 mins,550 km: 4 hours 49 mins,148 km: 1 hour 24 mins,133 km: 1 hour 13 mins,788 km: 6 hours 58 mins,518 km: 4 hours 26 mins,308 km: 3 hours 1 min,280 km: 2 hours 35 mins,226 km: 2 hours 16 mins,554 km: 4 hours 56 mins,358 km: 3 hours 19 mins,483 km: 4 hours 12 mins,442 km: 3 hours 52 mins,703 km: 6 hours 12 mins,519 km: 4 hours 38 mins,490 km: 4 hours 13 mins,604 km: 5 hours 18 mins,396 km: 3 hours 38 mins,415 km: 3 hours 41 mins,536 km: 4 hours 36 mins,522 km: 4 hours 38 mins,NULL,541 km: 4 hours 50 mins,607 km: 5 hours 19 mins,406 km: 3 hours 36 mins,551 km: 4 hours 51 mins,475 km: 4 hours 14 mins,461 km: 4 hours 3 mins,488 km: 4 hours 17 mins,570 km: 5 hours 3 mins,600 km: 5 hours 16 mins,206 km: 1 hour 49 mins,315 km: 2 hours 52 mins,531 km: 4 hours 41 mins,641 km: 5 hours 40 mins,484 km: 4 hours 14 mins,503 km: 4 hours 24 mins,433 km: 3 hours 52 mins,426 km: 3 hours 43 mins,653 km: 5 hours 47 mins,514 km: 4 hours 28 mins,583 km: 5 hours 17 mins,538 km: 4 hours 50 mins,421 km: 3 hours 43 mins,534 km: 4 hours 39 mins,698 km: 6 hours 22 mins,237 km: 2 hours 7 mins,556 km: 4 hours 54 mins,260 km: 2 hours 22 mins,227 km: 2 hours 2 mins,147 km: 1 hour 24 mins,573 km: 5 hours 1 min,693 km: 6 hours 4 mins,847 km: 7 hours 30 mins
Neuss,563 km: 5 hours 13 mins,409 km: 3 hours 54 mins,617 km: 5 hours 40 mins,39.4 km: 35 mins,232 km: 2 hours 20 mins,410 km: 3 hours 56 mins,9.7 km: 15 mins,75.9 km: 1 hour 2 mins,40.8 km: 42 mins,297 km: 2 hours 56 mins,592 km: 5 hours 24 mins,487 km: 4 hours 29 mins,282 km: 2 hours 41 mins,448 km: 4 hours 17 mins,40.8 km: 35 mins,56.8 km: 49 mins,38.4 km: 34 mins,71.4 km: 53 mins,183 km: 1 hour 50 mins,282 km: 2 hours 42 mins,338 km: 3 hours 13 mins,132 km: 1 hour 28 mins,216 km: 2 hours 8 mins,566 km: 5 hours 24 mins,76.4 km: 55 mins,29.6 km: 30 mins,53.8 km: 50 mins,344 km: 3 hours 14 mins,542 km: 5 hours 4 mins,493 km: 4 hours 35 mins,22.3 km: 24 mins,449 km: 4 hours 13 mins,423 km: 3 hours 51 mins,476 km: 4 hours 29 mins,44.7 km: 36 mins,468 km: 4 hours 31 mins,405 km: 3 hours 56 mins,582 km: 5 hours 23 mins,232 km: 2 hours 16 mins,236 km: 2 hours 23 mins,66.2 km: 51 mins,112 km: 1 hour 19 mins,298 km: 2 hours 59 mins,33.2 km: 37 mins,59.2 km: 54 mins,283 km: 2 hours 43 mins,184 km: 1 hour 58 mins,287 km: 2 hours 49 mins,41.6 km: 30 mins,35.5 km: 37 mins,541 km: 4 hours 50 mins,NULL,293 km: 2 hours 50 mins,172 km: 1 hour 52 mins,241 km: 2 hours 25 mins,551 km: 5 hours 8 mins,343 km: 3 hours 16 mins,541 km: 4 hours 59 mins,358 km: 3 hours 24 mins,493 km: 4 hours 40 mins,365 km: 3 hours 23 mins,283 km: 2 hours 48 mins,239 km: 2 hours 22 mins,366 km: 3 hours 31 mins,79.0 km: 59 mins,54.3 km: 49 mins,441 km: 4 hours 10 mins,361 km: 3 hours 31 mins,440 km: 4 hours 11 mins,44.2 km: 46 mins,147 km: 1 hour 33 mins,49.3 km: 49 mins,437 km: 4 hours 4 mins,37.3 km: 33 mins,199 km: 2 hours 19 mins,448 km: 4 hours 15 mins,130 km: 1 hour 25 mins,325 km: 3 hours 3 mins,352 km: 3 hours 17 mins,655 km: 5 hours 49 mins,75.2 km: 55 mins,380 km: 3 hours 34 mins,534 km: 5 hours 1 min
Heidelberg,634 km: 5 hours 47 mins,580 km: 5 hours 19 mins,344 km: 3 hours 23 mins,256 km: 2 hours 29 mins,97.0 km: 1 hour 4 mins,120 km: 1 hour 18 mins,298 km: 2 hours 55 mins,307 km: 2 hours 55 mins,315 km: 3 hours 4 mins,527 km: 4 hours 52 mins,533 km: 4 hours 46 mins,479 km: 4 hours 19 mins,438 km: 4 hours 6 mins,228 km: 2 hours 11 mins,315 km: 2 hours 58 mins,320 km: 3 hours 4 mins,298 km: 2 hours 51 mins,240 km: 2 hours 19 mins,400 km: 3 hours 39 mins,20.1 km: 24 mins,55.0 km: 40 mins,362 km: 3 hours 25 mins,102 km: 1 hour 4 mins,275 km: 2 hours 44 mins,309 km: 3 hours 2 mins,302 km: 2 hours 58 mins,336 km: 3 hours 12 mins,423 km: 3 hours 58 mins,452 km: 4 hours 3 mins,675 km: 6 hours 7 mins,319 km: 3 hours 6 mins,485 km: 4 hours 25 mins,509 km: 4 hours 40 mins,186 km: 1 hour 50 mins,319 km: 2 hours 58 mins,639 km: 5 hours 57 mins,345 km: 3 hours 12 mins,753 km: 6 hours 49 mins,104 km: 1 hour 5 mins,280 km: 2 hours 40 mins,292 km: 2 hours 46 mins,336 km: 3 hours 14 mins,155 km: 1 hour 37 mins,307 km: 3 hours 0 mins,326 km: 3 hours 4 mins,21.5 km: 25 mins,414 km: 3 hours 54 mins,517 km: 4 hours 45 mins,263 km: 2 hours 28 mins,282 km: 2 hours 47 mins,613 km: 5 hours 25 mins,301 km: 2 hours 55 mins,NULL,360 km: 3 hours 22 mins,63.5 km: 47 mins,317 km: 2 hours 58 mins,165 km: 1 hour 36 mins,297 km: 2 hours 43 mins,67.9 km: 45 mins,203 km: 2 hours 1 min,451 km: 4 hours 11 mins,319 km: 2 hours 59 mins,99.9 km: 1 hour 5 mins,75.5 km: 52 mins,335 km: 3 hours 12 mins,328 km: 3 hours 11 mins,233 km: 2 hours 14 mins,591 km: 5 hours 27 mins,150 km: 1 hour 32 mins,289 km: 2 hours 47 mins,169 km: 1 hour 47 mins,261 km: 2 hours 36 mins,253 km: 2 hours 21 mins,323 km: 3 hours 5 mins,202 km: 2 hours 4 mins,387 km: 3 hours 31 mins,218 km: 2 hours 9 mins,407 km: 3 hours 48 mins,402 km: 3 hours 43 mins,653 km: 5 hours 44 mins,230 km: 2 hours 13 mins,90.2 km: 55 mins,244 km: 2 hours 21 mins
